СОРТ ПИВА,ПИВОВАРНЯ,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Рижское,AB InBev Efes,2.0,–,1
Meduza Orange,Ochakovo (Очаково),2.0,–,2
G.O.S.E. | Passion Fruit & Blackberry,XP Brew,2.0,–,2
Seven Brewers (Семь Пивоваров) Nemetskoe (Немецкое),Varnitsa (Варница),2.0,↓ --63,4
Cherry Cider,Appleton Ciders,2.0,↑ +2729,1
Moooolibdenium Pistachio Edition,Nuclear Brewery,2.0,↑ +869,1
Барнаульское Светлое,Barnaulsky Pivovarenny Zavod (Барнаульский Пивоваренный Завод),2.0,↓ --144,2
Mr. Craft Apple Cider Semi-Sweet (Мистер Крафт Полусладкий),Объединенные Пензенские Водочные Заводы,2.0,↑ +263,1
Bud Alcohol Free (Безалкогольное),AB InBev Efes,2.02,↓ --109,25
Золотая Бочка Выдержанное Экстра,AB InBev Efes,2.02,–,12
Peterhof Zhivoe (Петергоф Живое),Baltika Breweries (Балтика),2.04,–,12
Bely Medved Zhivoy (Белый Медведь Живой),AB InBev Efes,2.04,–,6
Craft Tolstoy IPA (Крафт Толстой IPA),Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),2.05,↑ +263,5
Gold Mine Beer Yachmennoe (Ячменное),AB InBev Efes,2.05,–,5
Matador,ТАРКОС (TARKOS),2.05,↑ +1209,5
Kruger Myagkoe (Крюгер Мягкое),Tomskoe Pivo (Томское Пиво),2.06,–,4
Temnoe Nemetskoe (Темное Немецкое),Bulgarpivo (Булгарпиво),2.08,↑ +290,3
Arsenalnoe Ledyanoe (Арсенальное Ледяное),Baltika Breweries (Балтика),2.08,–,3
Welcome To the Garden \ Apricot Ale,ColdRiver,2.08,↑ +2213,3
ВкусВилл Жигулевское,Varnitsa (Варница),2.08,↑ +469,3
Посол Атлантиды,ColdRiver,2.08,↑ +1715,3
Крым Светлое (Krym Svetloe),ПБК Крым (Krym),2.08,↑ +997,18
Russian Amber Ale,Baltika Breweries (Балтика),2.08,–,3
Trigger Spritz,Trigger,2.1,↑ +854,5
Fon Vakano Venskoe (Фон Вакано Венское),Zhigulevskoe Pivo (Жигулевское Пиво),2.1,↑ +1753,5
Makariy Zhivoe Dvuhstupenchatoy Filtratsii (Макарий Живое Двухступенчатой Фильтрации),Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),2.1,↓ --21,5
Klinskoe Svetloe (Клинское Светлое),AB InBev Efes,2.1,–,25
Taezhny Buryy (Таежный Бурый),AB InBev Efes,2.1,–,5
Trifon Stout (Трифон Стаут),Vyatich (Вятич),2.11,↓ --201,7
Trehsosenskoe Svetloe (Трехсосенское Светлое),Zavod Trehsosensky (Завод Трехсосенский),2.11,↓ --148,14
